Artikelnummer|Hersteller-Artikelnummer|EAN|Hersteller|Bezeichnung|Kategorie 1|HEK|Lagerbestand|Image|Deep-Link
100000024|90-MXGSZ0-A0UAYZ|4717677322620|ASRock|"ASRock Fatal1ty B85 Killer B85 Sockel 1150 ATX DDR3"|hoh|73,92|1|http://admin.next.hoh.de/media/image/thumbnail//87c2bd94df8ae9a0b7a5121b13e7fcab_720x600.jpg|http://www.hoh.de/detail/index/sArticle/994624
100000099|902834|4250711902834|Audioline|"Audioline M4600 Mobiltelefon Schwarz GroÃtasten-/Seniorenhandy Schwarz"|hoh|20,08|8|http://admin.next.hoh.de/media/image/thumbnail//994827_cd24de55453387e39d38ddf32e5a648c_720x600.jpg|http://www.hoh.de/detail/index/sArticle/994827
100000411|90LJ0060-B00120|4716659633693|Asus IT|"ASUS Projector S1 WXGA 200 lumens HDMI 1000 1 - Digital-Projektor "|hoh|234,45|1|http://admin.next.hoh.de/media/image/thumbnail//c0a5678f9e242053fda1f730773bdc18_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995046
100000690|10525|5702015125109|Lego|"LEGO DUPLOÂ® 10525 - GroÃer Bauernhof"|hoh|40,25|2|http://admin.next.hoh.de/media/image/thumbnail//faf30c6558c204b573f641efda6c171c_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995261
100000804|BN227|4260052183724|Be-Quiet|"Be Quiet SFX Power 2 400 Watt PC-Netzteil 400 W SFX"|hoh|50,11|1|http://admin.next.hoh.de/media/image/thumbnail//1008729_8150e99a2d9486601d3ce602b55b447b_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1008729
100001506|9H.L9SLB.RBE|4718755051579|BENQ|"LED-Monitor 61 cm (24 Zoll) BenQ XL2411Z 1920 x 1080 Pixel 16:9 (1080p) 1 ms DVI, HDMI&trade;, V"|hoh|234,45|1|http://admin.next.hoh.de/media/image/thumbnail//995476_3e81a8f5062c71c0faad0f487c2f6838_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995476
10000265|FPMA-D600BLACK|8717371440015|NewStar|"NewStar Products FPMA-D600BLACK Monitorhalter 25,4 - 61 cm (10"" - 24"") Schwarz"|hoh|57,97|5|http://admin.next.hoh.de/media/image/thumbnail//445991_916d35ee0526f0a33da399f6ce0949a5_720x600.jpg|http://www.hoh.de/detail/index/sArticle/445991
10000435|5101173|4013674005505|Ansmann|"Ansmann RC 2 Akku-Taschenlampe mit 3 LEDs"|hoh|8,30|45|http://admin.next.hoh.de/media/image/thumbnail//449441_2885bd6c89d624b7bd27a60ccbe8c90d_720x600.jpg|http://www.hoh.de/detail/index/sArticle/449441
100006736|0S03661 / H3IKNAS30003272SE|0705487193794|HGST|"HGST Deskstar NAS 3000GB SATA 6Gb/s 7200rpm 64MB 3,5''"|hoh|116,23|6|http://admin.next.hoh.de/media/image/thumbnail//479ee9c9a91980233ecbda0163905dce_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995688
100000371|EE-V200SABEGWW|8806085880511|Samsung Electronics GmbH|"Samsung KFZ-Halterungssatz EE-V200"|hoh|13,86|85|http://admin.next.hoh.de/media/image/thumbnail//994783_9533a33c23b30582a7457f8c17b14968_720x600.jpg|http://www.hoh.de/detail/index/sArticle/994783
100000423|NSA325V2-EU0101F|4718937575527|ZyXEL|"ZyXEL NSA325 v2 NAS 2-bay LeergehÃ¤use schwarz"|hoh|71,34|2|http://admin.next.hoh.de/media/image/thumbnail//994982_d33d479aff680faada9b84d6f4c23ffa_720x600.jpg|http://www.hoh.de/detail/index/sArticle/994982
100000471|ET675FN17E|4242003612811|Siemens|"Siemens Glaskeramik Kochfeld ET675FN17E Edelstahl"|hoh|223,49|82||http://www.hoh.de/detail/index/sArticle/994971
100000626|91135|3700738100665|Wiko|"Wiko Cink Peax 2 Displayschutzfolie "|hoh|5,87|15|http://admin.next.hoh.de/media/image/thumbnail//e4367bf6c789d56db089e1414201aa1c_720x600.jpg|http://www.hoh.de/detail/index/sArticle/996049
100000637|91731|3700738100856|Wiko|"Wiko Stairway Flip Cover WeiÃ"|hoh|13,91|17|http://admin.next.hoh.de/media/image/thumbnail//996015_87a2a4bd14f05619d1179ca16f4ddcf8_720x600.jpg|http://www.hoh.de/detail/index/sArticle/996015
100000697|91410|3700738101136|Wiko|"Wiko Darknight Flip Cover Dunkelblau"|hoh|12,69|43|http://admin.next.hoh.de/media/image/thumbnail//996034_09ac66f1933bb946f572ad8c4146d5ae_720x600.jpg|http://www.hoh.de/detail/index/sArticle/996034
100000754|60042|5702015115452|Lego|"LEGOÂ® City 60042 - Polizei-Verfolgung"|hoh|9,65|3|http://admin.next.hoh.de/media/image/thumbnail//8409f1a9e32cd193ab9ccde5d0d9ebcd_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995468
100000810|C13T70214010|8715946499468|Epson Deutschland GmbH|"Epson Druckerpatrone GrÃ¶Ãe XL Schwarz  C13T70214010"|hoh|27,65|4|http://admin.next.hoh.de/media/image/thumbnail//fb134989ff2030b6f65df47496a8e252_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1035851
100001408|89943|7394090899433|Krusell|"Krusell FrostCover fÃ¼r Sony Xperia Z1 Compact Pink Clear"|hoh|7,84|1|http://admin.next.hoh.de/media/image/thumbnail//996825_7aec5204321dca6b3136c69bef9124ec_720x600.jpg|http://www.hoh.de/detail/index/sArticle/996825
100001479|8747B006|4960999991214|Canon|"Canon PIXMA iX6850 Tinte A3+ Farbe (14.5 Min./Seite, 150 BlÃ¤tter, USB, LAN, WLAN)"|hoh|153,68|14|http://admin.next.hoh.de/media/image/thumbnail//995391_443b5ad95dbc9b625e8c07b9c3464078_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995391
10000552|208067|4260117671227|DeTeWe|"DeTeWe BeeTel 860 Combo DECT-Telefon mit digitalem AB"|hoh|50,38|1|http://admin.next.hoh.de/media/image/thumbnail//451911_629ff3da4ce987d35f87679004b3048a_720x600.jpg|http://www.hoh.de/detail/index/sArticle/451911
100006538|ME711ZM/A|0885909737031|Apple|"Apple iPad Mini mit Retina Display Smart Case red"|hoh|46,13|1|http://admin.next.hoh.de/media/image/thumbnail//1031269_61e4db7b1331ee78657ae0f177818276_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1031269
100000067|A00015632|6438158627567|Nokia|"Nokia Asha 503 Black EU"|hoh|45,37|4|http://admin.next.hoh.de/media/image/thumbnail//125a23c7d7f16a1f198b56b83f4dca39_720x600.jpg|http://www.hoh.de/detail/index/sArticle/994693
100000114|A00016696|6438158640030|Nokia|"Nokia Lumia 1320 White EU"|hoh|140,25|13|http://admin.next.hoh.de/media/image/thumbnail//a7b4247d83fdfd4e02d891ce0b825f68_720x600.jpg|http://www.hoh.de/detail/index/sArticle/994773
100000570|MINI 180D/B|4717677321586|ASRock|"Mini-PC (HTPC) ASRock 90BXG27D0-A10GA0F AMD (E2-1800) 2 x 1.7 GHz 4 GB"|hoh|290,22|4|http://admin.next.hoh.de/media/image/thumbnail//1008725_1e6c631bca54a09529f0ee33366379b5_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1008725
100000654|10532|5702015125147|Lego|"LEGO DUPLOÂ® 10532 - Polizeiverfolgung "|hoh|17,61|5|http://admin.next.hoh.de/media/image/thumbnail//ba06d021b16b9546e5ed57144afb7e4c_720x600.png|http://www.hoh.de/detail/index/sArticle/995230
10000067|VN700M1W2N|4716872053216|Thermaltake|"Thermaltake Overseer RX-I - Big Tower"|hoh|95,50|2|http://admin.next.hoh.de/media/image/thumbnail//441381_6c3207c877ccea3afcc668afcebacbc3_720x600.jpg|http://www.hoh.de/detail/index/sArticle/441381
100000725|90MS0061-M00360|4716659690368|Asus IT|"ASUS VIVOPC VM60-G008M (Ci5-3337U, 4GB, 1TB, ohne Betriebssystem)"|hoh|352,10|1|http://admin.next.hoh.de/media/image/thumbnail//1b91e4ceb2d0d24df02bdee2f1eabc41_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995174
100000756|60044|5702015115575|Lego|"LEGOÂ® City 60044 - Polizei-Ãberwachungs-Truck"|hoh|19,96|9|http://admin.next.hoh.de/media/image/thumbnail//56724366aedf562c7b2accd9e1c2ce91_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995478
100000806|BN229|4260052183748|Be-Quiet|"Be Quiet TFX Power 2 300 Watt 80PlusÂ® Gold PC-Netzteil 300 W TFX"|hoh|49,32|1|http://admin.next.hoh.de/media/image/thumbnail//1008731_c2458bcf410c288d6d6dc2a82cd9dab7_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1008731
100001508|9H.LA4LB.RBE|4718755052767|BENQ|"LED-Monitor 68.6 cm (27 Zoll) BenQ XL2720Z 1920 x 1080 Pixel 16:9 (1080p) 1 ms DisplayPort, DVI, HDM"|hoh|377,31|1|http://admin.next.hoh.de/media/image/thumbnail//995462_c6392644a9e8737f4add258638228c16_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995462
100001621|1102PL3NL0|0632983032312|Kyocera|"Kyocera ECOSYS M2530dn Multifunktionsdrucker A4 s/w (Drucker/Kopierer/Scanner/Fax, 30 Seiten/Min, US"|hoh|425,97|3|http://admin.next.hoh.de/media/image/thumbnail//29ac8847d6240d7b897bd3956ee62e88_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995732
100006502|V310-003R|4719072328184|MSI|"MSI GeForcr GTX750Ti TwinFrozr OC 2GB GDDR5"|hoh|129,01|1|http://admin.next.hoh.de/media/image/thumbnail//c978135efc5492852c6404ef8eb2915c_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995517
100006609|BLS2C4G3N169ES4CEU|0649528765611|Crucial|"Crucial SO-DIMM 8GB KIT PC3-12800 DDR3L-1600 CL9 Ballistix Sport XMP 1.35V-1.50V 2x4GB"|hoh|55,88|1|http://admin.next.hoh.de/media/image/thumbnail//2db6fcdcaa4cf74b74498d5449007d02_720x600.jpg|http://www.hoh.de/detail/index/sArticle/1004231
100006981|ORACO-OR00501-CSA01|0872767004818|Arctic Cooling|"Arctic Cooling PST LÃ¼fter Steuerungskabel fÃ¼r max. 4 weitere LÃ¼fter"|hoh|4,12|1|http://admin.next.hoh.de/media/image/thumbnail//722e4ae26976be20c300d5f19f99327f_720x600.jpg|http://www.hoh.de/detail/index/sArticle/995761
100000425|V308-002R|4719072323578|MSI|"Grafikkarte MSI AMD Radeon&trade; R9 290 Twin Frozr Overclocked 4 GB GDDR5-RAM PCIe x16 DVI, HDM"|hoh|262,08|1|http://admin.next.hoh.de/media/image/thumbnail//994903_e05a341469fea6be0080bb4b9c5fd78d_720x600.jpg|http://www.hoh.de/detail/index/sArticle/994903
